Folder,SizeBytes,SizeMB
.git,319376,0.3045806884765625
.next,94263370,89.89655494689941
components,4296,0.00409698486328125
config,453,0.00043201446533203125
css,3500,0.003337860107421875
node_modules,450460802,429.59289741516113
public,3819,0.0036420822143554688
services,7945,0.007576942443847656
src,61380,0.058536529541015625
